# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.8115816922738837,2.9201466167605736,4.734606282997684,-179.74750658793604,2.434745076821651,3.0,0.000014233425172572128,180.0,0.0020533641555273104,0.0
 0.81667003056785,2.9077190940540136,4.7345515142555685,-179.74749613972457,2.4500100917035503,3.0,0.000014724010209624528,180.0,0.0020980275383996865,0.0
 0.8217285866168829,2.8952873179357055,4.734496724465642,-179.74748552673464,2.4651857598506486,2.999999999999956,0.000015200557321438408,180.0,0.0021440433181648937,0.0
 0.8267572617908348,2.8828528889162564,4.734441920643842,-179.74747474503724,2.4802717853725045,3.000000000000044,0.000015664874311900362,180.0,0.0021869408006472313,0.0
 0.8317662991111605,2.870417407506271,4.7343871098061046,-179.74746379056916,2.484994554937605,0.9428497459854234,0.00001566439785459665,180.0,0.002217737206296536,0.0
 0.8367855630682838,2.8579824742163566,4.734332298968368,-179.74745265916073,2.469936763066235,-3.000000000000022,0.000015666946019170002,180.0,0.0022405006730294467,0.0
 0.8418347395931096,2.845549689557119,4.734277495146568,-179.74744134647736,2.454789233491758,-2.999999999999978,0.000016126891336854725,180.0,0.0022639190316112346,0.0
 0.8469137298062294,2.8331206540391642,4.7342227053566415,-179.74742984805474,2.4395522628523985,-3.0000000000000218,0.000016577905774599006,180.0,0.0022880099588221195,0.0
 0.8520224356494985,2.8206969681730985,4.734167936614526,-179.7474181592849,2.424226145322591,-3.0000000000000218,0.0000165902204459193,180.0,0.0023127935515035816,0.0
 0.8571607598756614,2.808280232469528,4.734113195936158,-179.74740627540177,2.408811172644102,-3.0,0.00001703715206439267,180.0,0.0023382907778626573,0.0
 0.8623286060381503,2.7958720474390586,4.734058490337474,-179.7473941914747,2.3933076341566357,-2.999999999999957,0.00001747763268585065,180.0,0.002364520361531228,0.0
 0.8675258784810558,2.783474013592297,4.734003826834412,-179.74738190241823,2.3777158168279193,-3.0,0.000017500806791256614,180.0,0.002391508296755264,0.0
 0.8727524823292667,2.771087731439849,4.733949212442908,-179.74736940295173,2.3620360052832865,-3.0,0.000017939897326178547,180.0,0.0024192721568781377,0.0
 0.878008323478773,2.758714801492321,4.7338946541789,-179.7473566876416,2.3462684818347674,-3.000000000000042,0.00001837459204114036,180.0,0.0024478423405960748,0.0
 0.8832933085871304,2.7463568242603187,4.733840159058324,-179.74734375083128,2.330413526509695,-3.000000000000042,0.00001840976125051477,180.0,0.002477240167252888,0.0
 0.8886073450640846,2.7340154002544477,4.733785734097116,-179.74733058668667,2.3144714170788325,-3.0,0.000019234030260743055,180.0,0.0025074912947012657,0.0
 0.8939503410623468,2.7216921299853163,4.733731386311214,-179.74731718917073,2.2984424290840457,-3.0,0.00001927845867818779,180.0,0.002538625666981603,0.0
 0.8993222054685275,2.7093886139635286,4.733677122716555,-179.74730355201785,2.282326835865504,-3.0,0.000019326832362807732,180.0,0.0025706722209703193,0.0
 0.9047228478942115,2.6971064526996913,4.733622950329076,-179.7472896687364,2.266124908588451,-3.000000000000082,0.000020139455100933848,180.0,0.002603659704306776,0.0
 0.9101521786671852,2.684847246704411,4.733568876164714,-179.74727553260664,2.24983691626953,-2.9999999999999796,0.000020932796254305135,180.0,0.002637620604773103,0.0
